Image,Source,Type,CX,CY,X_min,Y_min,W,H,Area
261.tif,Total,black,478,245,464,225,29,43,868.0
261.tif,Total,black,569,190,560,150,15,60,421.5
261.tif,Total,black,390,496,371,470,36,54,1270.0
261.tif,Total,black,8,222,0,201,23,38,548.5
261.tif,Total,black,398,281,386,268,25,26,456.0
261.tif,Total,black,292,248,269,210,47,74,1950.5
261.tif,Total,black,508,58,492,37,32,42,828.5
261.tif,Total,black,364,73,349,48,32,49,1079.0
261.tif,Total,white,101,236,89,220,25,32,554.5
261.tif,Total,white,365,211,353,197,25,29,511.5
261.tif,Total,white,339,328,318,276,39,99,1943.5
261.tif,Total,white,524,555,515,533,21,42,655.0
261.tif,Total,black,557,555,535,523,40,52,1510.5
261.tif,Total,white,102,563,86,547,32,28,700.5
261.tif,Total,black,455,140,427,103,65,62,2311.0
261.tif,Total,black,204,303,189,252,33,87,1392.0
261.tif,Total,white,301,420,289,397,24,47,781.0
261.tif,Total,white,417,150,402,123,31,50,962.5
261.tif,Total,white,437,11,421,0,29,28,515.5
332.tif,Total,white,7,99,0,87,19,24,333.5
332.tif,Total,white,282,17,269,6,28,20,437.5
332.tif,Total,white,38,559,3,539,66,36,1633.5
332.tif,Total,white,119,525,83,512,68,28,1347.5
332.tif,Total,white,10,501,0,481,27,34,595.0
332.tif,Total,white,20,454,0,436,41,39,909.0
332.tif,Total,white,366,515,344,487,50,57,1132.0
332.tif,Total,white,553,538,523,485,52,90,3442.0
332.tif,Total,white,557,432,532,402,43,53,1400.0
332.tif,Total,white,442,342,427,327,31,31,774.5
332.tif,Total,white,414,230,397,191,39,73,2054.0
332.tif,Total,white,340,187,313,167,53,41,1197.5
332.tif,Total,white,287,121,258,106,54,32,1080.0
332.tif,Total,black,14,319,0,304,35,35,815.0
332.tif,Total,black,8,368,0,353,22,28,435.0
332.tif,Total,black,223,501,202,488,47,28,913.5
332.tif,Total,black,160,559,126,539,69,36,1891.5
332.tif,Total,black,396,439,380,429,31,20,454.5
332.tif,Total,black,354,379,328,351,58,52,2017.5
332.tif,Total,black,358,246,332,222,58,53,1939.0
332.tif,Total,black,479,201,442,168,80,62,2908.5
332.tif,Total,black,258,185,202,145,113,80,6817.5
332.tif,Total,black,439,142,417,119,42,46,1380.5
332.tif,Total,black,487,260,465,238,44,43,1058.0
332.tif,Total,black,291,542,272,525,40,35,1062.0
332.tif,Total,black,8,42,0,0,24,75,1044.0
332.tif,Total,black,103,118,79,87,54,63,2397.0
332.tif,Total,black,555,52,524,22,51,56,1801.5
298.tif,Total,white,86,187,71,173,30,29,689.0
298.tif,Total,white,361,9,330,0,63,22,1049.5
298.tif,Total,white,343,273,319,249,48,42,1380.5
298.tif,Total,white,396,246,386,234,20,24,378.5
298.tif,Total,white,458,402,446,389,25,27,499.5
298.tif,Total,white,430,439,421,431,20,20,314.5
298.tif,Total,white,485,371,473,364,24,16,319.0
298.tif,Total,white,120,100,113,92,15,17,195.5
298.tif,Total,white,95,40,84,25,24,29,513.5
298.tif,Total,white,544,222,527,204,32,39,841.5
298.tif,Total,white,456,183,444,175,24,17,322.0
298.tif,Total,white,421,151,413,140,18,23,304.5
298.tif,Total,white,544,40,534,30,22,22,358.5
298.tif,Total,black,187,352,170,320,33,76,1692.0
298.tif,Total,black,259,318,227,300,74,37,1658.5
298.tif,Total,black,538,376,524,350,29,58,1256.0
298.tif,Total,black,138,69,109,35,62,69,1911.5
298.tif,Total,black,229,31,213,0,33,57,1324.5
298.tif,Total,black,227,551,204,528,43,47,1321.0
298.tif,Total,black,537,146,524,128,30,39,864.0
277.tif,Total,white,325,196,310,187,32,22,477.5
277.tif,Total,white,18,330,8,323,21,17,230.0
277.tif,Total,white,423,456,415,448,16,16,182.0
277.tif,Total,white,385,439,376,430,19,21,317.5
277.tif,Total,white,203,560,192,551,24,17,250.0
277.tif,Total,white,493,60,482,50,24,21,404.0
277.tif,Total,white,419,211,407,203,27,17,297.5
277.tif,Total,white,407,408,395,398,26,19,340.5
277.tif,Total,white,268,565,253,551,32,24,491.5
277.tif,Total,black,120,30,107,21,25,19,369.0
277.tif,Total,black,173,561,154,543,36,32,845.5
51.tif,Total,white,471,331,455,311,36,39,1013.5
51.tif,Total,white,408,504,391,484,34,43,974.5
51.tif,Total,white,190,357,178,343,27,29,561.5
51.tif,Total,white,267,272,232,252,70,43,1797.0
51.tif,Total,black,135,264,122,232,26,58,847.0
51.tif,Total,black,470,501,452,474,40,50,766.5
51.tif,Total,black,379,412,358,389,40,50,1234.5
51.tif,Total,white,279,153,262,127,39,52,1128.0
51.tif,Total,white,178,190,162,173,36,38,668.0
51.tif,Total,white,408,102,366,82,81,46,2469.0
51.tif,Total,white,321,505,304,482,39,44,1298.0
51.tif,Total,white,127,462,100,450,44,24,343.0
51.tif,Total,white,210,395,197,385,24,17,201.0
365.tif,Total,white,205,13,168,0,72,33,1759.5
365.tif,Total,white,96,346,70,317,53,60,2330.5
365.tif,Total,white,341,434,302,380,81,109,6326.5
365.tif,Total,white,555,356,527,308,48,85,2856.0
365.tif,Total,black,431,202,403,173,53,59,2089.5
365.tif,Total,black,28,400,3,372,48,55,1694.0
365.tif,Total,black,552,112,530,65,45,92,3096.0
365.tif,Total,black,560,552,543,526,32,49,1352.5
220.tif,Total,white,194,216,177,198,35,37,859.5
220.tif,Total,white,277,255,266,241,22,30,517.0
220.tif,Total,white,464,415,453,403,24,26,456.5
220.tif,Total,white,411,72,400,60,24,26,451.5
220.tif,Total,white,417,82,400,58,32,55,1142.0
220.tif,Total,white,347,45,334,36,26,19,417.5
220.tif,Total,white,281,309,255,289,49,38,1156.0
220.tif,Total,white,434,171,423,162,24,18,349.5
220.tif,Total,black,246,203,230,182,33,43,886.5
220.tif,Total,black,340,153,318,130,46,46,1408.5
220.tif,Total,black,407,462,394,443,29,38,708.0
220.tif,Total,black,224,503,208,482,34,39,730.5
220.tif,Total,black,257,559,245,544,24,31,503.5
220.tif,Total,black,453,544,439,506,31,69,1517.0
220.tif,Total,black,480,245,449,227,69,41,1502.5
220.tif,Total,black,501,69,479,41,43,56,1273.0
220.tif,Total,black,321,8,287,0,54,21,694.0
220.tif,Total,black,91,13,64,0,46,32,832.0
220.tif,Total,black,115,258,102,238,30,38,685.5
220.tif,Total,black,79,274,56,219,46,95,1848.5
220.tif,Total,black,366,310,343,292,51,38,1270.0
220.tif,Total,black,328,499,310,485,38,29,865.5
220.tif,Total,black,287,287,0,0,575,575,330050.5
220.tif,Total,black,287,288,0,1,575,574,329453.5
220.tif,Total,black,510,419,493,407,32,27,646.5
172.tif,Total,black,292,224,278,202,31,48,1046.0
172.tif,Total,black,47,16,0,0,98,44,2841.0
172.tif,Total,black,313,380,294,360,40,42,1187.5
172.tif,Total,black,292,389,253,360,80,61,3400.0
172.tif,Total,black,553,90,518,0,57,173,5678.5
172.tif,Total,white,95,283,81,263,29,47,911.5
172.tif,Total,white,300,32,264,0,69,81,3678.0
172.tif,Total,white,163,26,142,2,42,52,1368.0
172.tif,Total,white,245,97,228,84,34,30,685.0
172.tif,Total,white,170,478,139,454,63,53,2310.5
172.tif,Total,white,452,375,434,345,37,63,1608.5
172.tif,Total,white,366,126,347,97,40,55,1279.0
92.tif,Total,white,325,553,269,519,99,56,3177.5
92.tif,Total,black,526,551,471,526,104,49,4387.5
92.tif,Total,white,396,554,347,526,99,49,3719.0
125.tif,Total,white,503,98,486,81,36,34,831.5
125.tif,Total,white,481,140,465,125,31,30,642.5
125.tif,Total,black,346,250,333,236,28,28,605.5
125.tif,Total,black,302,114,285,93,45,54,1136.5
125.tif,Total,white,5,138,1,130,11,21,123.0
125.tif,Total,white,232,346,223,337,20,20,243.0
125.tif,Total,white,119,424,111,420,15,10,75.0
349.tif,Total,white,11,353,0,311,28,82,1660.5
349.tif,Total,white,232,279,210,264,48,35,1184.0
349.tif,Total,white,57,436,24,406,73,55,2680.5
349.tif,Total,white,309,156,298,140,24,32,624.0
349.tif,Total,white,227,30,204,18,49,27,827.5
349.tif,Total,white,184,85,159,65,53,45,1636.0
349.tif,Total,white,415,94,399,64,31,66,1519.5
349.tif,Total,white,368,522,350,507,37,30,750.5
349.tif,Total,white,13,564,0,546,38,29,644.5
349.tif,Total,white,49,56,32,41,34,33,757.5
349.tif,Total,white,415,218,394,199,41,42,1111.0
349.tif,Total,black,475,377,466,369,19,17,242.5
349.tif,Total,black,557,211,542,184,33,56,1065.5
349.tif,Total,black,176,451,132,421,78,71,3130.0
349.tif,Total,black,16,162,0,83,47,131,3215.0
349.tif,Total,black,170,180,153,148,35,66,1582.5
349.tif,Total,black,365,407,347,383,37,43,1090.5
349.tif,Total,black,199,565,167,552,61,23,1118.5
349.tif,Total,black,246,350,228,329,39,44,1137.0
349.tif,Total,black,532,102,516,85,33,34,787.5
349.tif,Total,black,128,56,96,2,64,120,3750.0
349.tif,Total,white,468,431,436,411,56,34,939.5
84.tif,Total,white,366,153,327,116,76,82,3606.0
84.tif,Total,white,80,60,62,42,37,36,973.5
84.tif,Total,white,491,358,474,332,37,56,1582.5
84.tif,Total,black,216,308,183,244,66,114,2772.0
84.tif,Total,black,280,551,255,520,53,55,2092.5
84.tif,Total,black,353,298,341,274,27,45,800.5
84.tif,Total,black,502,195,486,160,29,76,1394.5
84.tif,Total,black,555,497,529,470,46,50,1742.0
84.tif,Total,black,134,42,102,5,63,73,2621.0
84.tif,Total,black,49,104,16,70,74,81,3777.5
133.tif,Total,white,229,259,203,251,51,18,587.0
133.tif,Total,white,136,335,103,315,62,38,1205.5
133.tif,Total,white,505,359,490,349,35,19,409.0
133.tif,Total,white,542,365,503,345,72,37,1520.5
133.tif,Total,white,150,186,131,178,36,16,323.5
133.tif,Total,black,50,177,25,155,51,43,1537.5
133.tif,Total,black,32,333,0,314,76,39,2105.5
133.tif,Total,white,409,65,388,55,40,19,410.0
133.tif,Total,white,474,487,458,480,33,16,366.5
133.tif,Total,white,241,568,231,564,21,10,159.0
133.tif,Total,white,38,513,26,505,25,16,234.0
133.tif,Total,white,235,174,214,163,43,23,658.0
133.tif,Total,white,169,31,156,23,29,17,328.0
133.tif,Total,black,278,469,250,456,53,28,1034.0
164.tif,Total,white,473,20,434,0,89,47,2587.0
164.tif,Total,white,138,98,112,83,54,33,1247.5
164.tif,Total,white,39,422,15,403,49,42,1481.0
164.tif,Total,white,314,432,284,410,64,45,1704.0
164.tif,Total,white,457,531,438,520,39,24,667.0
164.tif,Total,white,115,11,86,0,64,28,1276.5
164.tif,Total,black,166,442,120,407,91,79,4590.5
164.tif,Total,black,59,539,32,516,53,47,1765.0
164.tif,Total,black,268,560,241,542,51,33,1212.5
164.tif,Total,black,393,10,365,0,61,26,1105.0
164.tif,Total,black,15,9,0,0,45,24,621.5
164.tif,Total,black,11,52,0,0,32,115,2330.5
164.tif,Total,black,188,394,148,356,93,101,4862.5
164.tif,Total,black,309,100,282,76,54,52,1772.0
308.tif,Total,white,422,63,403,47,44,26,604.5
308.tif,Total,white,146,538,118,518,59,38,1490.5
308.tif,Total,white,234,567,224,558,22,17,270.5
308.tif,Total,white,547,281,537,263,20,44,582.5
308.tif,Total,white,494,461,484,439,25,51,843.5
308.tif,Total,black,516,61,475,32,88,58,4331.5
308.tif,Total,black,389,360,345,272,82,174,6398.5
308.tif,Total,black,45,523,1,467,92,107,6184.0
308.tif,Total,black,9,109,0,26,25,146,2057.5
308.tif,Total,black,301,562,284,555,35,17,406.0
390.tif,Total,black,372,522,313,448,130,127,12366.0
390.tif,Total,black,372,209,308,92,122,247,17283.5
390.tif,Total,white,562,231,550,168,23,113,1852.0
113.tif,Total,white,551,147,518,112,57,78,2494.5
328.tif,Total,black,568,464,556,411,19,91,1055.0
328.tif,Total,black,20,408,0,363,45,101,2573.0
328.tif,Total,black,250,474,214,425,68,111,3332.0
328.tif,Total,black,416,9,388,0,55,21,968.5
328.tif,Total,black,38,47,14,4,60,78,2221.5
328.tif,Total,black,548,326,524,281,51,95,2404.5
328.tif,Total,black,221,141,203,126,35,39,831.0
328.tif,Total,black,139,100,118,74,46,52,1522.0
328.tif,Total,black,292,114,276,94,33,42,895.0
328.tif,Total,black,90,274,70,240,39,62,1273.5
328.tif,Total,white,404,412,389,393,32,38,889.0
328.tif,Total,white,369,502,335,472,72,66,2994.0
328.tif,Total,white,311,470,274,437,75,67,3626.0
328.tif,Total,white,280,396,259,368,45,56,1674.5
282.tif,Total,white,209,242,181,205,58,72,2670.0
282.tif,Total,white,377,173,354,144,43,62,1651.0
282.tif,Total,white,316,73,291,37,50,72,2356.5
282.tif,Total,black,430,185,415,156,36,56,1334.0
282.tif,Total,black,46,506,0,468,101,76,3346.5
282.tif,Total,black,275,347,255,309,35,81,1676.0
282.tif,Total,black,369,437,329,408,75,62,1791.0
282.tif,Total,black,15,234,0,209,34,54,1455.5
282.tif,Total,black,191,161,174,110,40,96,2229.5
282.tif,Total,black,79,191,60,111,47,156,1638.5
282.tif,Total,black,128,359,115,349,28,21,428.0
282.tif,Total,black,481,377,454,339,46,64,666.0
282.tif,Total,black,555,312,548,303,17,21,175.0
282.tif,Total,black,548,258,530,243,35,40,828.0
282.tif,Total,black,395,48,387,30,18,36,450.0
282.tif,Total,black,397,244,390,221,15,43,474.5
144.tif,Total,black,315,271,281,218,68,95,3909.0
144.tif,Total,black,177,547,147,515,63,60,2753.0
144.tif,Total,black,487,391,462,322,57,135,4470.0
144.tif,Total,black,475,555,451,527,63,48,1909.5
144.tif,Total,black,141,20,107,0,71,49,2471.5
294.tif,Total,white,308,232,291,217,33,31,795.5
294.tif,Total,white,338,205,316,189,43,32,1062.0
294.tif,Total,white,125,312,111,296,28,31,664.5
294.tif,Total,white,555,374,539,359,34,31,775.5
294.tif,Total,white,7,27,0,12,17,32,444.0
294.tif,Total,black,430,366,406,341,44,44,1165.5
294.tif,Total,black,173,491,156,476,40,30,681.5
294.tif,Total,black,96,506,84,496,24,22,415.0
294.tif,Total,black,235,207,223,192,24,30,507.0
294.tif,Total,black,20,327,0,309,41,36,959.0
152.tif,Total,black,565,61,547,0,28,157,2510.0
369.tif,Total,white,392,266,371,240,45,56,1602.0
369.tif,Total,white,483,214,472,197,22,34,578.5
369.tif,Total,white,563,150,551,130,24,40,609.0
369.tif,Total,white,104,343,75,297,60,87,2744.5
369.tif,Total,white,45,116,33,85,27,61,1123.0
369.tif,Total,white,47,428,34,410,25,36,621.0
369.tif,Total,white,102,527,44,491,114,65,3096.0
369.tif,Total,white,283,523,260,459,50,116,3928.5
369.tif,Total,white,367,398,349,380,36,40,1133.5
369.tif,Total,black,280,124,252,78,59,90,3844.5
369.tif,Total,black,172,114,149,77,48,79,2653.5
369.tif,Total,black,328,17,304,0,45,40,1393.5
369.tif,Total,black,269,7,247,0,42,19,597.5
369.tif,Total,black,243,424,217,394,59,54,1790.0
369.tif,Total,black,423,381,381,331,84,87,3601.0
369.tif,Total,black,551,277,520,204,55,139,5159.5
369.tif,Total,black,559,558,543,540,32,35,973.0
369.tif,Total,black,225,525,180,484,80,72,3043.5
369.tif,Total,black,7,508,0,486,17,43,547.0
369.tif,Total,black,355,215,322,174,73,91,3957.0
369.tif,Total,black,342,329,330,309,24,43,714.5
369.tif,Total,black,287,288,0,1,575,574,329466.5
386.tif,Total,black,214,342,156,254,123,193,13208.5
386.tif,Total,black,546,160,506,34,69,221,8741.0
386.tif,Total,white,453,367,428,340,48,56,1647.0
105.tif,Total,black,558,479,532,432,43,113,3184.5
105.tif,Total,black,562,322,525,40,50,366,3452.0
257.tif,Total,white,401,371,355,329,92,88,4091.5
257.tif,Total,white,429,33,356,0,127,83,5057.5
257.tif,Total,black,545,38,490,0,85,111,4969.0
312.tif,Total,white,98,366,70,337,51,54,1571.0
312.tif,Total,white,148,445,127,416,41,63,1613.0
312.tif,Total,white,115,144,100,125,33,39,809.0
312.tif,Total,white,324,199,282,167,78,69,2003.5
312.tif,Total,white,336,501,321,454,39,78,1131.0
312.tif,Total,white,162,342,140,314,48,57,1341.0
312.tif,Total,white,230,398,224,386,13,26,238.5
312.tif,Total,black,324,364,273,308,111,103,4548.0
312.tif,Total,black,557,100,533,55,42,91,2818.5
312.tif,Total,black,24,290,0,245,58,83,3028.0
312.tif,Total,black,11,567,0,556,30,19,388.5
312.tif,Total,black,338,556,282,528,100,47,2880.5
191.tif,Total,black,266,177,253,159,24,36,617.0
191.tif,Total,black,437,506,421,480,37,49,1126.5
191.tif,Total,black,571,434,565,374,10,109,538.5
191.tif,Total,black,439,235,417,219,44,36,1204.0
191.tif,Total,black,371,309,352,282,42,54,1492.5
191.tif,Total,black,390,422,362,400,61,40,1648.0
191.tif,Total,black,108,446,96,430,23,32,497.0
191.tif,Total,black,42,458,21,425,48,65,1816.0
191.tif,Total,black,180,175,152,156,58,40,1681.5
191.tif,Total,black,201,63,169,33,63,70,2668.5
191.tif,Total,black,5,151,0,96,16,91,841.5
191.tif,Total,black,38,75,16,36,39,73,1688.5
191.tif,Total,black,36,373,20,353,31,48,918.5
191.tif,Total,black,109,562,82,540,65,35,1316.5
191.tif,Total,black,409,7,392,0,29,20,323.5
191.tif,Total,white,172,449,148,409,47,76,2431.5
191.tif,Total,white,45,558,24,539,48,36,1391.5
191.tif,Total,white,271,420,254,402,35,32,678.0
191.tif,Total,white,263,237,248,211,32,53,1147.0
191.tif,Total,white,500,315,483,281,38,68,1734.5
191.tif,Total,white,109,175,103,165,13,20,200.5
191.tif,Total,white,109,195,92,164,34,54,968.0
191.tif,Total,white,126,80,95,44,67,73,3377.0
26.tif,Total,white,405,221,390,195,31,54,1203.5
26.tif,Total,white,429,478,413,457,35,41,1023.0
26.tif,Total,white,83,158,69,143,28,30,621.0
26.tif,Total,white,385,7,369,0,28,17,345.5
26.tif,Total,black,502,285,453,209,103,169,10611.5
26.tif,Total,white,133,529,103,457,58,118,4025.0
26.tif,Total,white,144,367,128,339,33,52,1095.5
26.tif,Total,white,14,223,1,205,29,34,622.0
26.tif,Total,white,433,319,419,300,28,35,593.0
26.tif,Total,white,386,557,360,533,57,42,1742.0
200.tif,Total,white,142,342,115,298,58,87,2763.5
200.tif,Total,white,309,186,298,169,24,33,542.5
200.tif,Total,black,88,335,64,304,44,59,1439.5
200.tif,Total,black,78,356,47,306,60,90,3005.5
200.tif,Total,black,395,368,384,358,21,20,304.5
200.tif,Total,black,117,154,96,129,41,50,1259.5
200.tif,Total,black,565,31,550,0,25,67,1167.5
200.tif,Total,black,227,265,212,248,27,32,608.5
345.tif,Total,white,310,292,294,267,36,49,1295.5
345.tif,Total,white,243,146,221,117,48,57,1872.0
345.tif,Total,white,257,486,234,465,47,44,1302.5
345.tif,Total,black,169,383,131,350,83,68,3419.5
345.tif,Total,black,162,298,96,263,144,77,5602.5
345.tif,Total,black,559,245,529,187,46,119,2899.5
345.tif,Total,white,154,56,133,32,42,47,1109.5
345.tif,Total,white,115,100,100,71,32,52,990.5
129.tif,Total,black,554,316,533,274,38,83,2174.5
129.tif,Total,black,31,218,4,198,78,44,1952.0
129.tif,Total,black,95,322,69,301,46,57,1183.5
129.tif,Total,black,346,425,316,406,47,64,1132.0
129.tif,Total,white,222,243,204,215,40,58,955.0
71.tif,Total,white,526,184,520,176,14,15,164.5
71.tif,Total,white,461,278,448,270,27,17,318.5
71.tif,Total,white,426,190,415,182,21,16,211.5
71.tif,Total,white,10,81,0,69,22,23,418.5
71.tif,Total,white,284,230,271,220,31,22,382.5
71.tif,Total,white,235,469,205,440,61,46,1522.0
71.tif,Total,black,394,362,381,347,28,30,640.0
71.tif,Total,black,257,343,219,321,72,40,1646.0
71.tif,Total,black,63,246,43,227,42,33,788.5
71.tif,Total,black,255,278,228,252,54,51,1621.0
71.tif,Total,black,275,38,264,31,24,17,276.5
71.tif,Total,black,213,512,182,487,56,67,1910.5
71.tif,Total,black,404,460,389,440,26,41,718.0
216.tif,Total,white,45,385,24,356,43,62,1223.5
216.tif,Total,white,55,222,39,204,35,33,838.0
216.tif,Total,white,209,162,199,144,23,40,457.0
216.tif,Total,white,397,124,379,106,40,35,1015.5
216.tif,Total,white,195,21,176,2,38,37,943.5
216.tif,Total,white,421,441,403,422,34,35,768.0
216.tif,Total,white,245,568,226,558,38,17,401.0
216.tif,Total,white,395,508,380,482,40,55,1279.0
216.tif,Total,white,182,561,160,545,44,30,1081.0
216.tif,Total,white,260,417,250,403,20,29,322.0
216.tif,Total,black,354,501,343,485,24,38,619.0
216.tif,Total,black,151,449,129,428,46,42,1202.0
216.tif,Total,black,566,95,552,59,23,81,1102.5
216.tif,Total,black,180,284,169,268,24,33,554.0
216.tif,Total,black,407,352,390,336,31,31,719.5
216.tif,Total,black,239,441,227,430,26,21,435.0
216.tif,Total,black,10,163,0,138,25,55,943.0
216.tif,Total,black,290,382,273,362,33,37,864.5
216.tif,Total,black,128,564,97,548,60,27,1068.0
216.tif,Total,black,537,299,528,274,19,53,692.5
216.tif,Total,black,164,229,137,200,55,59,2379.0
353.tif,Total,white,405,147,392,137,28,22,438.5
353.tif,Total,white,385,377,374,361,26,33,562.0
353.tif,Total,white,390,369,374,350,35,41,864.0
353.tif,Total,white,239,488,229,476,21,25,336.0
353.tif,Total,white,187,535,177,522,21,29,405.5
353.tif,Total,white,261,539,253,531,17,18,219.5
353.tif,Total,white,110,426,98,411,28,36,618.5
353.tif,Total,white,40,358,33,350,15,17,173.5
353.tif,Total,white,74,324,66,313,17,23,268.5
353.tif,Total,white,3,388,0,375,9,25,148.5
353.tif,Total,white,182,375,170,358,25,36,561.0
353.tif,Total,white,339,419,331,409,17,20,263.0
353.tif,Total,white,491,423,475,392,34,57,1266.0
353.tif,Total,white,423,497,408,479,34,34,749.5
353.tif,Total,white,510,530,500,515,20,34,430.5
353.tif,Total,white,305,241,295,228,21,26,401.5
353.tif,Total,white,345,219,330,203,29,34,664.5
353.tif,Total,white,255,137,247,129,18,19,244.5
353.tif,Total,white,203,47,194,39,19,17,244.0
353.tif,Total,white,443,75,434,54,20,45,611.0
353.tif,Total,white,456,118,448,108,18,19,245.5
353.tif,Total,white,351,44,335,29,34,35,744.0
353.tif,Total,white,6,162,0,128,19,85,980.0
353.tif,Total,white,31,78,12,43,38,63,1248.0
353.tif,Total,white,511,236,503,224,16,24,252.5
353.tif,Total,white,153,464,145,455,17,19,235.5
353.tif,Total,white,105,507,94,498,22,20,300.5
353.tif,Total,white,179,569,169,563,25,12,216.0
353.tif,Total,white,377,570,368,563,21,12,176.0
353.tif,Total,black,97,245,87,234,21,22,350.0
353.tif,Total,black,188,226,147,196,84,63,2356.0
353.tif,Total,black,149,332,128,312,40,42,1064.0
353.tif,Total,black,387,528,361,502,53,55,1640.5
353.tif,Total,black,304,130,270,84,70,94,3537.5
353.tif,Total,black,566,150,556,137,19,26,371.0
353.tif,Total,black,293,483,272,461,42,43,1209.0
353.tif,Total,black,231,568,203,555,66,20,734.0
88.tif,Total,black,529,111,495,84,61,51,1992.0
88.tif,Total,black,328,232,295,194,69,76,3229.0
88.tif,Total,black,489,354,439,300,98,97,4897.0
88.tif,Total,white,177,241,150,217,55,46,1931.5
88.tif,Total,white,82,528,58,475,59,94,2647.0
88.tif,Total,white,317,138,277,88,69,107,4533.5
88.tif,Total,white,423,350,390,313,83,79,3293.5
67.tif,Total,white,205,216,195,206,20,20,338.0
67.tif,Total,white,311,110,295,103,31,16,380.0
67.tif,Total,white,513,9,504,0,19,19,314.0
67.tif,Total,white,559,432,552,422,16,21,277.5
67.tif,Total,white,484,465,475,455,18,22,310.0
67.tif,Total,white,510,520,500,512,22,17,259.0
67.tif,Total,white,493,56,485,50,15,14,157.5
67.tif,Total,white,475,79,468,70,15,17,207.0
67.tif,Total,white,553,22,546,16,14,13,147.0
67.tif,Total,white,505,167,496,161,19,13,193.0
67.tif,Total,white,400,297,394,292,12,12,124.0
67.tif,Total,white,130,66,124,58,15,16,201.0
67.tif,Total,white,5,365,0,358,11,15,141.0
67.tif,Total,white,527,343,518,337,20,12,189.5
67.tif,Total,white,225,382,219,376,12,12,123.0
67.tif,Total,white,459,412,452,404,14,17,201.5
67.tif,Total,white,506,387,500,381,13,12,124.5
67.tif,Total,white,250,398,242,394,17,10,141.5
67.tif,Total,white,241,352,228,344,27,16,277.0
241.tif,Total,white,145,227,137,222,16,11,133.5
241.tif,Total,white,450,554,419,527,61,48,2065.0
241.tif,Total,white,96,267,78,246,35,44,1060.5
241.tif,Total,black,200,70,186,58,34,27,514.5
241.tif,Total,black,108,161,78,145,57,30,1007.0
241.tif,Total,black,211,324,176,288,73,62,1829.5
241.tif,Total,black,442,409,426,397,35,23,420.0
241.tif,Total,black,194,477,155,432,115,98,2558.0
241.tif,Total,black,299,343,285,331,28,25,470.5
241.tif,Total,black,323,277,309,265,29,23,375.0
241.tif,Total,black,13,156,3,141,21,33,516.0
241.tif,Total,black,10,364,0,355,24,22,292.0
304.tif,Total,black,425,94,401,74,49,38,1520.0
304.tif,Total,black,180,440,150,417,60,47,1722.5
304.tif,Total,black,121,541,106,523,29,38,646.5
304.tif,Total,black,562,551,547,523,28,52,1038.5
304.tif,Total,black,252,345,201,308,100,84,4247.0
304.tif,Total,black,53,18,40,0,26,42,902.0
304.tif,Total,black,368,120,330,0,74,270,9239.5
304.tif,Total,black,556,26,508,0,67,77,2086.0
304.tif,Total,black,567,244,556,209,19,77,1064.0
304.tif,Total,white,249,54,224,4,50,93,1861.0
304.tif,Total,white,386,543,359,514,63,52,2198.5
304.tif,Total,white,474,329,448,315,52,30,895.0
304.tif,Total,white,467,266,459,253,19,23,325.0
304.tif,Total,white,290,215,280,202,20,25,402.0
304.tif,Total,black,459,405,435,374,48,65,2548.5
304.tif,Total,black,228,206,201,146,54,105,2112.5
187.tif,Total,white,330,323,308,304,48,41,1269.0
187.tif,Total,white,7,527,0,510,18,36,541.0
187.tif,Total,white,440,424,429,404,24,40,724.0
187.tif,Total,white,497,514,484,496,28,38,748.0
187.tif,Total,white,188,528,179,513,19,29,408.5
187.tif,Total,black,254,319,236,300,36,40,1095.5
187.tif,Total,black,107,555,92,535,32,40,923.0
187.tif,Total,black,169,564,150,550,39,25,750.5
187.tif,Total,black,310,493,295,466,33,61,1001.5
187.tif,Total,black,187,122,173,83,37,95,1792.5
187.tif,Total,black,567,160,556,147,19,35,438.0
187.tif,Total,black,479,403,461,374,38,56,1403.5
187.tif,Total,black,504,318,489,291,31,55,985.5
187.tif,Total,black,201,247,183,228,39,40,945.5
187.tif,Total,black,144,79,128,38,36,94,2045.0
187.tif,Total,black,322,444,310,426,25,40,714.5
187.tif,Total,black,54,336,41,311,28,47,814.5
168.tif,Total,white,287,287,0,0,575,575,330047.0
168.tif,Total,white,234,249,210,221,48,52,1425.5
168.tif,Total,black,116,304,94,293,38,24,566.0
168.tif,Total,black,7,554,0,530,17,45,642.5
168.tif,Total,black,174,459,146,434,55,56,1741.5
168.tif,Total,black,146,474,83,435,114,75,4752.0
168.tif,Total,black,387,559,353,532,67,43,1799.0
168.tif,Total,black,562,84,542,33,33,85,1605.0
168.tif,Total,black,45,88,16,73,63,34,1408.0
168.tif,Total,white,363,280,350,270,27,21,437.0
168.tif,Total,white,512,222,493,178,37,84,1810.5
30.tif,Total,white,279,379,262,354,37,52,1209.5
30.tif,Total,white,202,442,179,419,45,47,1572.0
30.tif,Total,white,152,291,134,261,35,60,1507.5
30.tif,Total,white,504,283,488,268,33,33,802.0
30.tif,Total,white,381,364,348,331,63,69,2692.0
30.tif,Total,black,265,288,217,258,98,70,4182.5
30.tif,Total,black,123,45,105,21,36,48,1131.0
30.tif,Total,black,562,126,544,87,31,78,1651.0
30.tif,Total,black,496,362,469,312,55,104,3743.0
30.tif,Total,black,135,453,110,427,55,56,2114.5
30.tif,Total,black,286,151,264,124,46,53,1516.5
